species,light,mu
Chlorella vulgaris,4.24,0.40438959
Chlorella vulgaris,4.24,0.448116794
Chlorella vulgaris,4.24,0.472931357
Chlorella vulgaris,23.36,1.327604955
Chlorella vulgaris,23.36,1.288888948
Chlorella vulgaris,23.36,1.386285606
Chlorella vulgaris,59.43,1.588064164
Chlorella vulgaris,59.43,1.608245975
Chlorella vulgaris,59.43,1.564617916
Chlorella vulgaris,122.55,1.703209738
Chlorella vulgaris,122.55,1.772211423
Chlorella vulgaris,122.55,1.706488434
Chlorella vulgaris,202.05,1.627932208
Chlorella vulgaris,202.05,1.731302573
Chlorella vulgaris,202.05,1.687547123
Chlorella vulgaris,309.34,1.442123908
Chlorella vulgaris,309.34,1.434096687
Chlorella vulgaris,309.34,1.500008773
Cryptomonas ovata,4.24,0.369407666
Cryptomonas ovata,4.24,0.431212954
Cryptomonas ovata,4.24,0.373164065
Cryptomonas ovata,23.36,1.343684665
Cryptomonas ovata,23.36,1.232976726
Cryptomonas ovata,23.36,1.096599922
Cryptomonas ovata,59.43,0.999386611
Cryptomonas ovata,59.43,0.933680575
Cryptomonas ovata,59.43,1.464977977
Cryptomonas ovata,122.55,1.140687629
Cryptomonas ovata,122.55,1.331022523
Cryptomonas ovata,122.55,1.398397299
Cryptomonas ovata,202.05,1.085796408
Cryptomonas ovata,202.05,1.289322633
Cryptomonas ovata,202.05,1.310951999
Cryptomonas ovata,309.34,0.971754712
Cryptomonas ovata,309.34,1.182776046
Cryptomonas ovata,309.34,1.140949873